Step Id,Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215868117.645	,7.040,134.400000,21
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215868210.387	,14.600,85.710000,16
0,0,RmsNorm,N/A,N/A,1790315215868330.809	,9.640,105.650000,28
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215868461.752	,9.220,121.360000,28
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215868550.174	,26.060,79.280000,40
0,0,Compressor,N/A,N/A,1790315215868754.878	,54.241,178.690000,20
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215868849.580	,6.620,40.259000,16
0,0,aclnnMuls_Muls_Muls,N/A,N/A,1790315215868892.920	,1.140,36.880000,3
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215869008.023	,2.360,113.860000,1
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215869099.885	,18.800,89.640000,40
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215869163.166	,0.920,44.450000,1
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215869249.028	,19.940,84.830000,40
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215869338.189	,15.281,69.310000,16
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215869462.212	,5.500,108.719000,11
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215869533.033	,6.460,65.250000,18
0,0,aclnnMuls_Muls_Muls,N/A,N/A,1790315215869584.694	,5.400,45.290000,40
