Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,Index_6c4c8a656742ea5f9c9c8714c8a01fe7_high_performance__kernel0,KERNEL_AIVEC,47,29844,8.120,1790315215740625.378	,1790315215740633.498	
0,NotEqual_db689a08d53f9c09c59c06b9caeb956b_high_performance_223000000,KERNEL_AIVEC,47,29845,1.460,1790315215740647.478	,1790315215740648.938	
0,Cast_0be58f254e900269694fed603fa574c1_high_performance_210000000,KERNEL_AIVEC,47,29846,0.940,1790315215740700.079	,1790315215740701.019	
0,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,KERNEL_AIVEC,47,29847,1.220,1790315215740702.699	,1790315215740703.919	
0,MoeInitRoutingV3_e76c326fbdd16c2ff4dda3bbf7b68c80_2310000,KERNEL_MIX_AIV,47,29848,35.621,1790315215740793.481	,1790315215740829.102	
0,GroupedMatmulSwigluQuantV2_fa3d6d3de6e1f32e170e39d2ddd3a20e_2,KERNEL_MIX_AIC,47,29849,162.283,1790315215741207.189	,1790315215741369.473	
0,N/A,EVENT_RECORD,47,29850,0.020,1790315215741370.373	,1790315215741370.393	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_69325233410,KERNEL_MIX_AIC,47,29851,94.002,1790315215741478.155	,1790315215741572.157	
0,N/A,EVENT_RECORD,47,29852,0.020,1790315215741621.918	,1790315215741621.938	
0,Abs_8098b79498645e9c0da095babdeaf862_high_performance_210000000,KERNEL_AIVEC,47,29853,1.120,1790315215741709.699	,1790315215741710.819	
0,MoeTokenUnpermute_6dd49246dc9576d3314234df69cb5c22_1,KERNEL_AIVEC,47,29854,13.460,1790315215741817.821	,1790315215741831.282	
0,N/A,EVENT_WAIT,38,2923,5.400,1790315215742076.067	,1790315215742081.467	
0,N/A,EVENT_RECORD,47,29855,0.020,1790315215742080.987	,1790315215742081.007	
0,aiv_reduce_scatter_bfloat16_t,KERNEL_AIVEC,38,2924,13.880,1790315215742146.228	,1790315215742160.108	
0,N/A,EVENT_RECORD,38,2925,0.020,1790315215742205.629	,1790315215742205.649	
0,N/A,EVENT_RECORD,38,2926,0.020,1790315215742210.609	,1790315215742210.629	
0,N/A,EVENT_WAIT,47,29856,0.020,1790315215742215.429	,1790315215742215.449	
0,DynamicQuant_bf16_1_high_performance_100,KERNEL_AIVEC,36,55561,3.880,1790315215742537.796	,1790315215742541.676	
0,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_int32_high_performance_4,KERNEL_AICORE,36,55562,21.060,1790315215742792.681	,1790315215742813.741	
0,N/A,EVENT_WAIT,36,55563,0.000,1790315215742901.763	,1790315215742901.763	
0,DequantSwigluQuant_5aec45b26e36306ef5a8aab7ae151294_200000000,KERNEL_AIVEC,36,55564,5.180,1790315215743067.906	,1790315215743073.087	
0,N/A,EVENT_WAIT,36,55565,0.200,1790315215743184.549	,1790315215743184.749	
0,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_high_performance_24,KERNEL_MIX_AIC,36,55566,19.000,1790315215743323.192	,1790315215743342.192	
0,N/A,EVENT_RECORD,36,55567,0.020,1790315215743443.094	,1790315215743443.114	
0,N/A,EVENT_WAIT,47,29857,0.000,1790315215743543.656	,1790315215743543.656	
0,Add_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,KERNEL_AIVEC,47,29858,7.660,1790315215743709.979	,1790315215743717.639	
0,HcPost_d2fe6614722b27afa6f8d964c215447e_0,KERNEL_AIVEC,47,29859,7.440,1790315215743892.563	,1790315215743900.003	
0,HcPre_c12a9d608e5abdbd1728e849208025ff_0,KERNEL_MIX_AIC,47,29860,30.660,1790315215744011.625	,1790315215744042.286	
0,RmsNorm_normal_all_bf16_high_performance_0,KERNEL_AIVEC,47,29861,4.720,1790315215744083.047	,1790315215744087.767	
0,N/A,EVENT_RECORD,47,29862,0.020,1790315215744516.995	,1790315215744517.015	
0,N/A,EVENT_WAIT,38,2927,0.020,1790315215744520.495	,1790315215744520.515	
0,aiv_all_gather_bfloat16_t,KERNEL_AIVEC,38,2928,10.840,1790315215744587.997	,1790315215744598.837	
0,N/A,EVENT_RECORD,38,2929,0.220,1790315215744644.298	,1790315215744644.518	
0,N/A,EVENT_RECORD,38,2930,0.020,1790315215744645.878	,1790315215744645.898	
